o_x,o_y,d_x,d_y,o_node,d_node
-87.6750856208,41.8704150003,-87.657005027,41.8790669938,1324353893.0,261239964.0
-87.6357600901,41.9074919303,-87.6716536214,41.8786674201,261166853.0,261197750.0
-87.6209929134,41.8849871918,-87.6341560931,41.922082541,623820257.0,656680113.0
-87.6988607973,41.8173662079,-87.7172201,41.8601900192,418466972.0,261174185.0
-87.6561568309,41.9289672664,-87.6262105324,41.8991556134,261223218.0,261149262.0
-87.6572331997,41.8852813201,-87.6750856208,41.8704150003,258956097.0,1324353893.0
-87.6494887289,41.9226862843,-87.6838349425,41.9477915865,370097351.0,261181630.0
-87.6188683546,41.8909220259,-87.6219716519,41.8774061234,269448563.0,33718417.0
-87.6173580061,41.859349715,-87.6428084655,41.8853000224,11938585879.0,258020602.0
-87.6333080367,41.899602111,-87.6494887289,41.9226862843,261267239.0,370097351.0
-87.6357397768,41.6738199043,-87.6488950721,41.7174930361,261198752.0,261162196.0
-87.6439653703,41.949829346,-87.6262149064,41.8925077809,257967566.0,258023463.0
-87.6384969156,41.7691898164,-87.6132781783,41.7830141971,261198698.0,261279915.0
-87.6572331997,41.8852813201,-87.6568039088,41.9491397709,258956097.0,4384635705.0
-87.6178596758,41.8129489392,-87.5961833442,41.8089162826,261127048.0,1588205336.0
-87.6536139825,41.8983058696,-87.6209929134,41.8849871918,739187858.0,623820257.0
-87.6161341112,41.7632467988,-87.5949254391,41.7788768603,261127106.0,261137159.0
-87.6462109769,41.9218549112,-87.6207628651,41.8983317935,262369215.0,27440574.0
-87.684490122,41.8994222543,-87.6564115308,41.9362371791,261135337.0,4173985511.0
-87.6564115308,41.9362371791,-87.6735740325,42.0016981937,4173985511.0,261294442.0
-87.6429586652,41.8679024175,-87.6467820813,41.938232293,256612742.0,259575869.0
-87.6161341112,41.7632467988,-87.6563059862,41.7442051463,261127106.0,261151261.0
-87.6422063127,41.9305785697,-87.6558149022,41.9955129914,261236606.0,1257584223.0
-87.6333080367,41.899602111,-87.7172201,41.8601900192,261267239.0,261174185.0
-87.6572331997,41.8852813201,-87.6559118484,41.9217014922,258956097.0,286369393.0
-87.6350918563,41.8510178239,-87.6422063127,41.9305785697,261118916.0,261236606.0
-87.6944151909,41.9868086263,-87.6996630419,42.0156967498,261211813.0,261118370.0
-87.6964352325,41.795430631,-87.667569312,41.8502663663,261163996.0,261151990.0
-87.6221729369,41.8706073724,-87.6261455896,41.9027880476,2428811753.0,261278115.0
-87.6540926517,41.8716894745,-87.6709450752,41.9083786693,2004538727.0,261202244.0
-87.771166703,41.9788295262,-87.6558787862,41.96581197,261115432.0,257148945.0
-87.6161341112,41.7632467988,-87.6251921424,41.8788655841,261127106.0,27440219.0
-87.6738072384,41.9292725315,-87.685362024,41.9286190509,102708212.0,261092768.0
-87.6564115308,41.9362371791,-87.6470785093,41.942577185,4173985511.0,261139211.0
-87.6763559892,41.9012069941,-87.6665962653,41.7759288274,261202157.0,261151942.0
-87.6634164054,41.9867117999,-87.6875155152,41.9751709433,261218260.0,261129980.0
-87.6980008039,41.7681062939,-87.6707697365,41.7475342629,261142089.0,261177259.0
-87.6314065252,41.8710158803,-87.6531587001,41.8365103216,874447445.0,261222946.0
-87.6631958495,41.9654457842,-87.6840183712,41.9668340674,257168831.0,261212626.0
-87.6572331997,41.8852813201,-87.6709450752,41.9083786693,258956097.0,261202244.0
-87.7289580948,41.8712250372,-87.6618611238,41.8741766252,261169001.0,1309327401.0
-87.6233665115,41.7065878819,-87.5863483178,41.7441995348,261137021.0,261172176.0
-87.6836429218,41.9119723006,-87.6850821101,41.9212731053,261291025.0,261134243.0
-87.6262149064,41.8925077809,-87.6219716519,41.8774061234,258023463.0,33718417.0
-87.6559981815,41.9442266014,-87.6701668569,42.0096228806,261199726.0,261289110.0
-87.6197106717,41.8950334495,-87.6572331997,41.8852813201,262184019.0,258956097.0
