o_x,o_y,d_x,d_y,o_node,d_node
-87.6221729369,41.8706073724,-87.6378442095,41.8932163595,2428811753.0,709413342.0
-87.7655016086,41.9272609555,-87.7560467111,41.8906088526,261236570.0,261258147.0
-87.6341560931,41.922082541,-87.6453787624,41.962178629,656680113.0,26794623.0
-87.6634164054,41.9867117999,-87.6333080367,41.899602111,261218260.0,261267239.0
-87.6649377243,41.9872255578,-87.6603894557,41.958055933,261214991.0,12191241534.0
-87.7215590627,41.968069,-87.7112105933,41.9386661962,305898751.0,313441004.0
-87.592310855,41.794090253,-87.6251921424,41.8788655841,261358990.0,27440219.0
-87.714003807,41.8390869059,-87.7269298425,41.7697780588,261163038.0,538028307.0
-87.6750627566,41.9123643542,-87.7049072355,41.9283913974,349125510.0,369649678.0
-87.6221729369,41.8706073724,-87.6327464887,41.8809944707,2428811753.0,28289897.0
-87.6298717446,41.7617023786,-87.6980008039,41.7681062939,261224822.0,261142089.0
-87.6233665115,41.7065878819,-87.592310855,41.794090253,261137021.0,261358990.0
-87.6241352979,41.8492467545,-87.6327464887,41.8809944707,253960123.0,28289897.0
-87.6525344838,41.8926581076,-87.6378442095,41.8932163595,709393026.0,709413342.0
-87.6129454143,41.8919715078,-87.6318639497,41.8920421365,736932535.0,2291929239.0
-87.7172201,41.8601900192,-87.6991553432,41.9227606205,261174185.0,366227246.0
-87.642648998,41.8792550844,-87.6536139825,41.8983058696,257381494.0,739187858.0
-87.6262149064,41.8925077809,-87.6561568309,41.9289672664,258023463.0,261223218.0
-87.6291051864,41.9002212967,-87.6750856208,41.8704150003,250755811.0,1324353893.0
-87.6241352979,41.8492467545,-87.6308650266,41.9058577688,253960123.0,366593183.0
-87.6649539167,41.8997373884,-87.6573411073,41.9727095466,261166444.0,257148930.0
-87.6288741572,41.8920726347,-87.6308650266,41.9058577688,258023465.0,366593183.0
-87.7560467111,41.8906088526,-87.7302324284,41.8785943576,261258147.0,261188743.0
-87.6219716519,41.8774061234,-87.6327464887,41.8809944707,33718417.0,28289897.0
-87.6108347373,41.8346735981,-87.6139994504,41.808511513,614386721.0,261207765.0
-87.6318639497,41.8920421365,-87.6603894557,41.958055933,2291929239.0,12191241534.0
-87.7083657043,41.7457577128,-87.6161341112,41.7632467988,261166819.0,261127106.0
-87.6188683546,41.8909220259,-87.6173580061,41.859349715,269448563.0,11938585879.0
-87.6327464887,41.8809944707,-87.6431623703,41.8350679168,28289897.0,261160580.0
-87.6318639497,41.8920421365,-87.6327464887,41.8809944707,2291929239.0,28289897.0
-87.6530217894,41.9581548757,-87.6502900743,41.9729293173,257372149.0,257119074.0
-87.6763559892,41.9012069941,-87.6635175498,41.874005383,261202157.0,736019814.0
-87.6424975271,41.7771962546,-87.6665962653,41.7759288274,261214537.0,261151942.0
-87.6635175498,41.874005383,-87.7172201,41.8601900192,736019814.0,261174185.0
-87.7128745809,41.8626614463,-87.7177791062,41.8762234405,261116747.0,6224248203.0
-87.6467820813,41.938232293,-87.6318639497,41.8920421365,259575869.0,2291929239.0
-87.6209929134,41.8849871918,-87.6188683546,41.8909220259,623820257.0,269448563.0
-87.6129454143,41.8919715078,-87.6327464887,41.8809944707,736932535.0,28289897.0
-87.6428084655,41.8853000224,-87.6429586652,41.8679024175,258020602.0,256612742.0
-87.6462109769,41.9218549112,-87.6209929134,41.8849871918,262369215.0,623820257.0
-87.6716536214,41.8786674201,-87.6750627566,41.9123643542,261197750.0,349125510.0
-87.657005027,41.8790669938,-87.7128745809,41.8626614463,261239964.0,261116747.0
-87.6327464887,41.8809944707,-87.6321092196,41.9002656868,28289897.0,2291929252.0
-87.6378442095,41.8932163595,-87.6572331997,41.8852813201,709413342.0,258956097.0
-87.6488950721,41.7174930361,-87.6233665115,41.7065878819,261162196.0,261137021.0
-87.6750856208,41.8704150003,-87.6516929533,41.8162234797,1324353893.0,261250999.0
-87.6460070664,41.9534000435,-87.6327464887,41.8809944707,262167589.0,28289897.0
-87.6572331997,41.8852813201,-87.6327464887,41.8809944707,258956097.0,28289897.0
-87.6937939017,41.8759663,-87.7142147077,41.8681324282,261261507.0,261116742.0
-87.6875155152,41.9751709433,-87.6558787862,41.96581197,261129980.0,257148945.0
-87.5949254391,41.7788768603,-87.6251921424,41.8788655841,261137159.0,27440219.0
-87.6515625922,41.9363101308,-87.6578712629,41.9788750584,4173985509.0,257147094.0
-87.6634164054,41.9867117999,-87.6558787862,41.96581197,261218260.0,257148945.0
-87.6141870291,41.8277887624,-87.6295663156,41.7275849467,261251857.0,261173898.0
-87.5961833442,41.8089162826,-87.551428197,41.7412427285,1588205336.0,261116225.0
-87.6513108767,41.9290469366,-87.6666114405,41.957530922,261236458.0,9971880129.0
-87.6262105324,41.8991556134,-87.6209929134,41.8849871918,261149262.0,623820257.0
